"","Label","Name","LatDD","LonDD","CalYrBP","Pollen.sum","Abies"
"1","MALIQ","Lake Maliq",40.7611,20.8,12301.55,191.5,3
"2","MALIQ","Lake Maliq",40.7611,20.8,12252.93,174.5,0
"3","MALIQ","Lake Maliq",40.7611,20.8,12204.31,183.25,0
"4","MALIQ","Lake Maliq",40.7611,20.8,12155.69,149.75,0
"5","MALIQ","Lake Maliq",40.7611,20.8,12107.07,177,0
"6","MALIQ","Lake Maliq",40.7611,20.8,12058.45,217.5,0
"7","MALIQ","Lake Maliq",40.7611,20.8,12009.83,167.25,2
"8","MALIQ","Lake Maliq",40.7611,20.8,11961.21,175,1
"9","MALIQ","Lake Maliq",40.7611,20.8,11912.59,141.25,3
"10","MALIQ","Lake Maliq",40.7611,20.8,11863.97,153.5,6
"11","MALIQ","Lake Maliq",40.7611,20.8,11815.34,139.75,6
"12","MALIQ","Lake Maliq",40.7611,20.8,11766.72,123,4
"13","MALIQ","Lake Maliq",40.7611,20.8,11718.1,141,0
"14","MALIQ","Lake Maliq",40.7611,20.8,11669.48,153.5,2
"15","MALIQ","Lake Maliq",40.7611,20.8,11620.86,118.25,1
"16","MALIQ","Lake Maliq",40.7611,20.8,11572.24,99.5,2
"17","MALIQ","Lake Maliq",40.7611,20.8,11523.62,150.75,4
"18","MALIQ","Lake Maliq",40.7611,20.8,11475,98.75,4
"19","MALIQ","Lake Maliq",40.7611,20.8,11426.38,183.5,9
"20","MALIQ","Lake Maliq",40.7611,20.8,11377.76,160.25,1
"21","MALIQ","Lake Maliq",40.7611,20.8,11329.14,145.25,21
"22","MALIQ","Lake Maliq",40.7611,20.8,11280.52,129.25,6
"23","MALIQ","Lake Maliq",40.7611,20.8,11231.9,191.25,8
"24","MALIQ","Lake Maliq",40.7611,20.8,11183.28,115.75,9
"25","MALIQ","Lake Maliq",40.7611,20.8,11134.66,177,15
"26","MALIQ","Lake Maliq",40.7611,20.8,11086.03,118.75,3
"27","MALIQ","Lake Maliq",40.7611,20.8,11037.41,182.75,5
"28","MALIQ","Lake Maliq",40.7611,20.8,10988.79,157.75,3
"29","MALIQ","Lake Maliq",40.7611,20.8,10940.17,162.75,0
"30","MALIQ","Lake Maliq",40.7611,20.8,10891.55,176.75,2
"31","MALIQ","Lake Maliq",40.7611,20.8,10842.93,216.5,3
"32","MALIQ","Lake Maliq",40.7611,20.8,10794.31,176.75,2
"33","MALIQ","Lake Maliq",40.7611,20.8,10745.69,143.25,1
"34","MALIQ","Lake Maliq",40.7611,20.8,10697.07,249.75,2
"35","MALIQ","Lake Maliq",40.7611,20.8,10648.45,153.5,2
"36","MALIQ","Lake Maliq",40.7611,20.8,10599.83,154.25,0
"37","MALIQ","Lake Maliq",40.7611,20.8,10551.21,150,17
"38","MALIQ","Lake Maliq",40.7611,20.8,10502.59,130.5,11
"39","MALIQ","Lake Maliq",40.7611,20.8,10453.97,117.75,7
"40","MALIQ","Lake Maliq",40.7611,20.8,10405.34,140.25,6
"41","MALIQ","Lake Maliq",40.7611,20.8,10356.72,105.5,6
"42","MALIQ","Lake Maliq",40.7611,20.8,10308.1,167.5,20
"43","MALIQ","Lake Maliq",40.7611,20.8,10259.48,152.5,9
"44","MALIQ","Lake Maliq",40.7611,20.8,10210.86,117.25,7
"45","MALIQ","Lake Maliq",40.7611,20.8,10162.24,104.25,6
"46","MALIQ","Lake Maliq",40.7611,20.8,10113.62,108.25,3
"47","MALIQ","Lake Maliq",40.7611,20.8,10065,132,0
"48","MALIQ","Lake Maliq",40.7611,20.8,9922.08,220,0
"49","MALIQ","Lake Maliq",40.7611,20.8,9779.17,79.75,0
"50","MALIQ","Lake Maliq",40.7611,20.8,9636.25,101.75,5
"51","MALIQ","Lake Maliq",40.7611,20.8,9493.33,134.25,11
"52","MALIQ","Lake Maliq",40.7611,20.8,9350.42,74.25,5
"53","MALIQ","Lake Maliq",40.7611,20.8,9207.5,177.75,2
"54","MALIQ","Lake Maliq",40.7611,20.8,9064.58,105,0
"55","MALIQ","Lake Maliq",40.7611,20.8,8921.67,110.5,2
"56","MALIQ","Lake Maliq",40.7611,20.8,8778.75,95.75,6
"57","MALIQ","Lake Maliq",40.7611,20.8,8635.83,152.25,33
"58","MALIQ","Lake Maliq",40.7611,20.8,8492.92,92,9
"59","MALIQ","Lake Maliq",40.7611,20.8,8350,238.25,11
"60","MALIQ","Lake Maliq",40.7611,20.8,8278.75,259.25,9
"61","MALIQ","Lake Maliq",40.7611,20.8,8207.5,348.25,43
"62","MALIQ","Lake Maliq",40.7611,20.8,8136.25,574.75,21
"63","MALIQ","Lake Maliq",40.7611,20.8,8065,485.5,10
"64","MALIQ","Lake Maliq",40.7611,20.8,7993.75,209,26
"65","MALIQ","Lake Maliq",40.7611,20.8,7922.5,210,29
"66","MALIQ","Lake Maliq",40.7611,20.8,7851.25,246.5,32
"67","MALIQ","Lake Maliq",40.7611,20.8,7780,171,27
"68","MALIQ","Lake Maliq",40.7611,20.8,7708.75,197.5,10
"69","MALIQ","Lake Maliq",40.7611,20.8,7637.5,169.25,27
"70","MALIQ","Lake Maliq",40.7611,20.8,7566.25,313.25,40
"71","MALIQ","Lake Maliq",40.7611,20.8,7495,149.5,24
"72","MALIQ","Lake Maliq",40.7611,20.8,7423.75,149.5,8
"73","MALIQ","Lake Maliq",40.7611,20.8,7352.5,151.25,28
"74","MALIQ","Lake Maliq",40.7611,20.8,7281.25,142,42
"75","MALIQ","Lake Maliq",40.7611,20.8,7210,181,80
"76","MALIQ","Lake Maliq",40.7611,20.8,7117,192.75,49
"77","MALIQ","Lake Maliq",40.7611,20.8,7024,135,51
"78","MALIQ","Lake Maliq",40.7611,20.8,6931,126.25,61
"79","MALIQ","Lake Maliq",40.7611,20.8,6838,233.25,83
"80","MALIQ","Lake Maliq",40.7611,20.8,6745,143.5,26
"81","MALIQ","Lake Maliq",40.7611,20.8,6652,160.75,19
"82","MALIQ","Lake Maliq",40.7611,20.8,6559,149.75,11
"83","MALIQ","Lake Maliq",40.7611,20.8,6466,113.75,32
"84","MALIQ","Lake Maliq",40.7611,20.8,6373,165.25,20
"85","MALIQ","Lake Maliq",40.7611,20.8,6280,165.5,37
"86","MALIQ","Lake Maliq",40.7611,20.8,6187,145,22
"87","MALIQ","Lake Maliq",40.7611,20.8,6094,120.5,30
"88","MALIQ","Lake Maliq",40.7611,20.8,6001,87.25,10
"89","MALIQ","Lake Maliq",40.7611,20.8,5908,146.75,20
"90","MALIQ","Lake Maliq",40.7611,20.8,5815,115.75,19
"91","MALIQ","Lake Maliq",40.7611,20.8,5722,175.25,10
"92","MALIQ","Lake Maliq",40.7611,20.8,5629,128,22
"93","MALIQ","Lake Maliq",40.7611,20.8,5536,187.5,20
"94","MALIQ","Lake Maliq",40.7611,20.8,5443,206.25,43
"95","MALIQ","Lake Maliq",40.7611,20.8,5350,131,14
"96","MALIQ","Lake Maliq",40.7611,20.8,5257,180.25,10
"97","MALIQ","Lake Maliq",40.7611,20.8,5164,159.5,34
"98","MALIQ","Lake Maliq",40.7611,20.8,5071,152.5,18
"99","MALIQ","Lake Maliq",40.7611,20.8,4978,144.5,9
"100","MALIQ","Lake Maliq",40.7611,20.8,4885,147.25,36
"101","MALIQ","Lake Maliq",40.7611,20.8,4792,169,35
"102","MALIQ","Lake Maliq",40.7611,20.8,4699,140.5,21
"103","MALIQ","Lake Maliq",40.7611,20.8,4606,186,36
"104","MALIQ","Lake Maliq",40.7611,20.8,4513,208.25,25
"105","MALIQ","Lake Maliq",40.7611,20.8,4420,143.25,49
"106","MALIQ","Lake Maliq",40.7611,20.8,4410.28,160.5,41
"107","MALIQ","Lake Maliq",40.7611,20.8,4400.56,155.25,32
"108","MALIQ","Lake Maliq",40.7611,20.8,4390.83,136,27
"109","MALIQ","Lake Maliq",40.7611,20.8,4377.22,134,36
"110","MALIQ","Lake Maliq",40.7611,20.8,4371.39,170.5,23
"111","MALIQ","Lake Maliq",40.7611,20.8,4361.67,143.25,30
"112","MALIQ","Lake Maliq",40.7611,20.8,4351.94,196.25,65
"113","MALIQ","Lake Maliq",40.7611,20.8,4342.22,120,39
"114","MALIQ","Lake Maliq",40.7611,20.8,4332.5,139.5,23
"115","MALIQ","Lake Maliq",40.7611,20.8,4322.78,193,36
"116","MALIQ","Lake Maliq",40.7611,20.8,4313.06,126.25,20
"117","MALIQ","Lake Maliq",40.7611,20.8,4303.33,207.25,32
"118","MALIQ","Lake Maliq",40.7611,20.8,4293.61,178,39
"119","MALIQ","Lake Maliq",40.7611,20.8,4283.89,183.75,6
"120","MALIQ","Lake Maliq",40.7611,20.8,4274.17,186.25,40
"121","MALIQ","Lake Maliq",40.7611,20.8,4264.44,144,31
"122","MALIQ","Lake Maliq",40.7611,20.8,4254.72,209.75,37
"123","MALIQ","Lake Maliq",40.7611,20.8,4245,181.25,30
"124","MALIQ","Lake Maliq",40.7611,20.8,4021.83,191,32
"125","MALIQ","Lake Maliq",40.7611,20.8,3798.66,181,28
"126","MALIQ","Lake Maliq",40.7611,20.8,3575.49,197.5,23
"127","MALIQ","Lake Maliq",40.7611,20.8,3352.32,179.25,40
"128","MALIQ","Lake Maliq",40.7611,20.8,3129.15,217.25,43
"129","MALIQ","Lake Maliq",40.7611,20.8,2905.98,191.25,23
"130","MALIQ","Lake Maliq",40.7611,20.8,2682.8,208.75,24
"131","MALIQ","Lake Maliq",40.7611,20.8,2459.63,186,16
"132","MALIQ","Lake Maliq",40.7611,20.8,2380.25,163.25,10
"133","MALIQ","Lake Maliq",40.7611,20.8,2310.76,153.25,10
"134","MALIQ","Lake Maliq",40.7611,20.8,2293.38,126,8
"135","MALIQ","Lake Maliq",40.7611,20.8,2249.95,160.5,3
"136","MALIQ","Lake Maliq",40.7611,20.8,2206.51,204,9
"137","MALIQ","Lake Maliq",40.7611,20.8,2163.08,172.25,8
"138","MALIQ","Lake Maliq",40.7611,20.8,2119.64,223.75,3
"139","MALIQ","Lake Maliq",40.7611,20.8,2076.21,234,7
"140","MALIQ","Lake Maliq",40.7611,20.8,2032.77,294.5,6
"141","MALIQ","Lake Maliq",40.7611,20.8,1945.9,177.5,9
"142","MALIQ","Lake Maliq",40.7611,20.8,1859.03,178.75,8
"143","MALIQ","Lake Maliq",40.7611,20.8,1728.72,175.75,5
"144","MALIQ","Lake Maliq",40.7611,20.8,1641.85,226.75,3
"145","MALIQ","Lake Maliq",40.7611,20.8,1554.98,192,6
"146","MALIQ","Lake Maliq",40.7611,20.8,1468.11,113,15
"147","MALIQ","Lake Maliq",40.7611,20.8,1381.24,152.75,14
"148","MALIQ","Lake Maliq",40.7611,20.8,1294.37,147.5,26
"149","MALIQ","Lake Maliq",40.7611,20.8,1164.06,279.25,5
"150","MALIQ","Lake Maliq",40.7611,20.8,1033.76,244,10
"151","MALIQ","Lake Maliq",40.7611,20.8,990.32,278.5,10
"152","MALIQ","Lake Maliq",40.7611,20.8,946.89,274.75,8
"153","MALIQ","Lake Maliq",40.7611,20.8,860.02,237.25,7
"154","MALIQ","Lake Maliq",40.7611,20.8,773.15,297.25,7
"155","MALIQ","Lake Maliq",40.7611,20.8,712.34,226.75,11
"156","MALIQ","Lake Maliq",40.7611,20.8,642.84,271.75,6
"157","MALIQ","Lake Maliq",40.7611,20.8,599.41,269.75,18
"158","MALIQ","Lake Maliq",40.7611,20.8,512.54,220.75,12
"159","MALIQ","Lake Maliq",40.7611,20.8,469.1,238.75,13
"160","MALIQ","Lake Maliq",40.7611,20.8,425.67,242.25,3
"161","MALIQ","Lake Maliq",40.7611,20.8,382.23,228.25,6
"162","MALIQ","Lake Maliq",40.7611,20.8,295.36,355,4
"163","OHRID","Lake Ohrid",40.9167,20.671617,147173.8,313.25,0.5
"164","OHRID","Lake Ohrid",40.9167,20.671617,145080.9,262.875,2
"165","OHRID","Lake Ohrid",40.9167,20.671617,142756.6,355.375,3
"166","OHRID","Lake Ohrid",40.9167,20.671617,140432.2,156.625,0
"167","OHRID","Lake Ohrid",40.9167,20.671617,138116.5,281.625,0
"168","OHRID","Lake Ohrid",40.9167,20.671617,136961.4,211.25,1.5
"169","OHRID","Lake Ohrid",40.9167,20.671617,135859.2,232.75,0
"170","OHRID","Lake Ohrid",40.9167,20.671617,134866.9,210.5,3
"171","OHRID","Lake Ohrid",40.9167,20.671617,133936.1,165.5,0
"172","OHRID","Lake Ohrid",40.9167,20.671617,133043.4,243.5,1
"173","OHRID","Lake Ohrid",40.9167,20.671617,132216.9,284.75,1
"174","OHRID","Lake Ohrid",40.9167,20.671617,131424.1,273.625,0
"175","OHRID","Lake Ohrid",40.9167,20.671617,130697.7,289.625,1.5
"176","OHRID","Lake Ohrid",40.9167,20.671617,130014.1,244.5,5
"177","OHRID","Lake Ohrid",40.9167,20.671617,129358.7,447.75,8
"178","OHRID","Lake Ohrid",40.9167,20.671617,128744.6,221.5,10
"179","OHRID","Lake Ohrid",40.9167,20.671617,128121.6,264.25,1
"180","OHRID","Lake Ohrid",40.9167,20.671617,127495.1,183.5,2
"181","OHRID","Lake Ohrid",40.9167,20.671617,126834,252.25,25
"182","OHRID","Lake Ohrid",40.9167,20.671617,126218.3,178.875,24
"183","OHRID","Lake Ohrid",40.9167,20.671617,125832.3,264.25,24
"184","OHRID","Lake Ohrid",40.9167,20.671617,125556.5,259.625,1.5
"185","OHRID","Lake Ohrid",40.9167,20.671617,125157.7,370.5,33
"186","OHRID","Lake Ohrid",40.9167,20.671617,124780.9,399.75,40
"187","OHRID","Lake Ohrid",40.9167,20.671617,124575.8,261.25,33
"188","OHRID","Lake Ohrid",40.9167,20.671617,124250.8,512.125,49
