SiteN,metadata,filename,Region,Country,SiteName,Chronology,Calibration method,radius,londd,latdd,Lang et al. 2023 dataset,Files from server,Neotoma Code,Dois,Author,,,,
1,EXCLUDED,ALGEN,Ma,Spain,Algendar,Already present,,NA,3.958611,39.940556,TRUE,,,,,,,,
1,EXCLUDED,BALLI,Ta,Ireland,Ballinloghig Lake,Already present,,79,-10.308333,52.2,TRUE,,,,,,,,
1,EXCLUDED,MAANS,Bb,Finland,Maanselansuo,Already present,,NA,25,59.433333,TRUE,,,,,,,,
1,EXCLUDED,MAILL,Ma,Spain,El Maillo,Already present,,NA,6.20972222,40.5466667,TRUE,,,,,,,,
1,EXCLUDED,,A,Norway,Cap'pesjav'ri,,,,25.37,71.07,FALSE,,,,,,,,
1,EXCLUDED,HOPSE,A,Norway,Lake Hopseidet,,,,27.72,70.83,TRUE,,,,,,,,
1,EXCLUDED,,A,Norway,Iver Kobbkrokvatnet,,,,29.29,70.7,FALSE,,,,,,,,
1,EXCLUDED,,A,Norway,Jansvatmet,,,,23.67,70.65,FALSE,,,,,,,,
1,EXCLUDED,IFJOR,A,Norway,Lake Ifjord,,,,27.63,70.43,TRUE,,,,,,,,
1,EXCLUDED,DOMSV,A,Norway,Domsvatnet,,,,31.03,70.32,TRUE,,,,,,,,
1,EXCLUDED,,A,Russia,Rybachiy,,,,32.4,69.6,FALSE,,,,,,,,
1,EXCLUDED,YARNI,A,Russia,Yarnishnoe-3,,,,36.1,69.1,TRUE,,,,,,,,
1,EXCLUDED,POTER,A,Russia,Poteryanny Zub,,,,35.3,68.8,TRUE,,,,,,,,
1,EXCLUDED,ORTIN,A,Russia,Ortino,,,,54.1,68.1,TRUE,,,,,,,,
1,EXCLUDED,TIMAN,A,Russia,Bolvan I,,,,48.43,67.43,TRUE,,,,,,,,
1,EXCLUDED,KHARI,A,Russia,Lake Kharinei,,,,62.75,67.37,TRUE,,,,,,,,
1,EXCLUDED,TUMBU,A,Russia,Lake Tumbulovaty,,,,59.7,67.1,TRUE,,,,,,,,
1,EXCLUDED,,Ba,Norway,Endlevatn,,,,16,69.2,FALSE,,,,,,,,
