"CalYrBP" "model" "Spear_cor" "MDAE" "rel_err" "mare"
"1" 500 "./RelAb_VarSel_STRK" 0.220863361684278 1.65324224413128 0.752728087400237 0.887025276815031
"2" 1000 "./RelAb_VarSel_STRK" 0.391716841218265 2.38813087303033 0.34788179297412 0.767459111916081
"3" 1500 "./RelAb_VarSel_STRK" 0.453641795048741 2.66759998696636 0.315497933930863 0.821322204424806
"4" 2000 "./RelAb_VarSel_STRK" 0.446107191242211 2.96317228808415 0.317814387786653 0.784327837721583
"5" 2500 "./RelAb_VarSel_STRK" 0.46412682035117 4.19186958495259 0.355237115166967 0.828024439689334
"6" 3000 "./RelAb_VarSel_STRK" 0.475902396002645 4.14969683393098 0.270685702600663 0.780637572704724
"7" 3500 "./RelAb_VarSel_STRK" 0.554351269767758 4.58112703640943 0.342136828643349 0.770959880208765
"8" 4000 "./RelAb_VarSel_STRK" 0.627059799769718 4.30957025725533 0.406960087552723 0.752188271995958
"9" 4500 "./RelAb_VarSel_STRK" 0.468257223243076 4.64847928633624 0.119914190823963 0.756377679824958
"10" 5000 "./RelAb_VarSel_STRK" 0.503979126114388 4.72063950653211 0.0798148860127737 0.724656232244747
"11" 5500 "./RelAb_VarSel_STRK" 0.372031874791586 6.13693017407589 0.0423949047896076 0.78373039356839
"12" 6000 "./RelAb_VarSel_STRK" 0.379307321446501 5.93849368364035 -0.142460738149139 0.772638640872139
"13" 6500 "./RelAb_VarSel_STRK" 0.492635603504173 4.90945880564282 -0.163066560321599 0.739623979219813
"14" 7000 "./RelAb_VarSel_STRK" 0.515465530679851 3.93366030120583 0.147289430279008 0.818335774405166
"15" 7500 "./RelAb_VarSel_STRK" 0.587092799739587 3.50790897335475 -0.0269070650862185 0.789937238589544
"16" 8000 "./RelAb_VarSel_STRK" 0.507818425763577 2.78642919630453 0.197533550294153 0.833489246670534
"17" 8500 "./RelAb_VarSel_STRK" 0.547994123377139 2.4254414641384 0.536462164826368 0.900791340016186
"18" 9000 "./RelAb_VarSel_STRK" 0.171732779983628 2.13401090042844 0.480510297510135 0.922759828168716
"19" 9500 "./RelAb_VarSel_STRK" 0.137239775840125 1.99636682160271 0.159653308704766 0.886656399063047
"20" 10000 "./RelAb_VarSel_STRK" 0.100501901132196 2.2790024971559 0.416666445111568 0.936858784443488
"21" 10500 "./RelAb_VarSel_STRK" 0.339866208247753 2.12863361826819 -0.0384848114646515 0.894127741864013
"22" 11000 "./RelAb_VarSel_STRK" 0.296876025014162 1.27433733261953 0.513464310406931 0.946847394991567
"23" 11500 "./RelAb_VarSel_STRK" 0.423976240794364 1.82983015541425 -0.246776161045786 0.677177230828117
"24" 12000 "./RelAb_VarSel_STRK" 0.527974978011139 1.42906106687639 1.02424177875889 1.02424177875889
"25" 12500 "./RelAb_VarSel_STRK" -0.133292198750987 0.726384605148613 -0.39828585059414 0.776774603170748
"26" 13000 "./RelAb_VarSel_STRK" 0.625603888831962 1.05194765249232 0.481027365303119 0.727498843095865
"27" 13500 "./RelAb_VarSel_STRK" 0.0927221719899421 2.27745855414273 -0.323118028879463 0.804478643267598
"28" 14000 "./RelAb_VarSel_STRK" 0.620540764606942 0.636919822947632 0.232516504658684 0.700123901427997
"29" 14500 "./RelAb_VarSel_STRK" -0.139142916610521 3.43319564729551 -0.628145874014544 0.949785914589711
"30" 15000 "./RelAb_VarSel_STRK" 0.209624337051247 1.60713448658484 -0.0123189441350478 0.608885174178693
"31" 15500 "./RelAb_VarSel_STRK" -0.265264037379753 4.68054377503657 3.60384303484837 3.60384303484837
"32" 16000 "./RelAb_VarSel_STRK" 0.677114908970011 3.9530732472056 3.30595274254038 3.30595274254038
"33" 16500 "./RelAb_VarSel_STRK" -0.592586999630372 2.35815999658408 -0.42143118049804 0.905862606554667
"34" 17000 "./RelAb_VarSel_STRK" -0.186895692398696 1.60012346765132 1.03854865459107 1.03854865459107
"35" 17500 "./RelAb_VarSel_STRK" 0.00480424030940632 2.0442077767583 0.96503260361882 0.96503260361882
"36" 18000 "./RelAb_VarSel_STRK" -0.410829180675562 6.96658948874645 2.33724701649493 2.33724701649493
"37" 18500 "./RelAb_VarSel_STRK" -0.86401188513211 1.89985816203222 -0.186467987857836 0.629802980713681
"38" 19000 "./RelAb_VarSel_STRK" -0.862264293066964 4.54050327716821 -0.388254129557577 0.661005604645622
"39" 19500 "./RelAb_VarSel_STRK" -0.849025253640377 2.40398172764513 -0.134740021925502 0.56421805272569
"40" 20000 "./RelAb_VarSel_STRK" -0.373371795715228 2.11707319933796 0.231586227047589 0.451390780079995
